"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"1","Białystok","2ca4e849680acf58257c53edef97391c","blok mieszkalny",51,3,9,1995,53.1283,23.1588,1.06,46,0.173,0.186,0.337,0.186,0.144,0.257,0.036,"no","yes","yes","no","no",455000,292600
"2","Białystok","daa9d23b4fef93c5a80b94f339377b72","blok mieszkalny",59.8,3,10,1988,53.145914,23.1158053,2.41,16,0.354,0.615,0.177,0.307,0.073,2.13,0.413,"no","yes","yes","no","yes",395000,292600
"3","Białystok","91a11d197ea7c363a0e20359f0349852","blok mieszkalny",61,3,4,1983,53.1368918,23.184599,2.65,17,0.129,0.383,0.35,0.144,0.225,0.945,0.092,"no","yes","no","no","yes",519000,292600
"4","Białystok","4cc065da4204a842b534b8dd312bd22c","blok mieszkalny",59.4,3,4,1987,53.14677,23.10933,2.82,13,0.144,0.969,0.358,0.044,0.313,2.535,0.101,"no","yes","no","no","yes",565000,292600
"5","Białystok","010f873534360145b8317570c77e1533","blok mieszkalny",57.6,3,4,1972,53.1318,23.1912,3.07,16,0.144,0.391,0.213,0.247,0.183,1.603,0.207,"yes","yes","no","no","yes",499000,292600
"6","Białystok","9b3bc80005c8917baaf8224b59de4d47","apartamentowiec",44,2,15,2011,53.15071607,23.15793915,2.11,6,0.371,1.191,0.511,0.386,0.101,1.302,0.205,"no","yes","yes","no","no",489000,292600
"7","Białystok","04051d9589a07c175bde3f717fce55eb","blok mieszkalny",43,2,2,1952,53.13313584,23.1510049,0.38,50,0.217,0.371,0.228,0.149,0.026,0.384,0.109,"no","yes","no","no","yes",439000,292600
"8","Białystok","aa8e2a34c5e4b801b523588947b074eb","blok mieszkalny",63.74,3,4,1960,53.13501161,23.16321938,1.21,61,0.171,0.246,0.322,0.151,0.053,0.725,0.135,"no","no","no","no","yes",498000,292600
"9","Białystok","057e51fa36bb3874dbc15cf3f69b65c9","blok mieszkalny",42.2,2,4,1971,53.1226482,23.1408264,1.23,7,0.431,0.686,0.092,0.315,0.579,1.114,0.117,"no","yes","no","no","yes",339000,292600
"10","Białystok","133e6feb276cec6b0f90e82ac4cd3014","blok mieszkalny",60,3,4,1985,53.1515,23.1181,2.71,20,0.142,0.314,0.191,0.095,0.274,2.463,0.273,"no","yes","no","no","yes",398000,292600
